N-gram,TF-IDF Score,Type
senilai miliar,0.00548875036679687,Bigram
tarif bea,0.0054492763689587284,Bigram
menteri koordinator,0.005403093439809892,Bigram
harga emas,0.0053870276354034755,Bigram
bidang perekonomian,0.005353973415618918,Bigram
pemberlakuan tarif,0.0053503736579455525,Bigram
tarif china,0.005338460447958206,Bigram
koordinator bidang,0.005308623836177419,Bigram
atas barang,0.005302892097619496,Bigram
asia tenggara,0.005248942172693078,Bigram
menetapkan tarif,0.005238938564426195,Bigram
menjadi salah,0.005237027154656971,Bigram
juru bicara,0.005219988137497022,Bigram
tahun terakhir,0.005193264008711233,Bigram
trump memberlakukan,0.005176489341869564,Bigram
dampak kebijakan,0.005169519946098194,Bigram
perdagangan china,0.005115537143181263,Bigram
pasar keuangan,0.005109806893947198,Bigram
tukar rupiah,0.005102984263445008,Bigram
negeri paman,0.005084504518155279,Bigram
sumber daya,0.005071767660984736,Bigram
produk indonesia,0.005058476928107432,Bigram
impor baru,0.005006770386462815,Bigram
berbagai negara,0.00498815497006201,Bigram
satu negara,0.004988128598208575,Bigram
benar benar,0.004984503507743563,Bigram
tarif perdagangan,0.004966130963007524,Bigram
produk impor,0.004961513161826441,Bigram
alas kaki,0.004957042452478099,Bigram
pasar ekspor,0.004947788393495025,Bigram
perdagangan dunia,0.0049447362382037344,Bigram
persen menjadi,0.004940806133976841,Bigram
terkena tarif,0.004930689993607404,Bigram
sri mulyani,0.004913726573946137,Bigram
seluruh dunia,0.004903922606473089,Bigram
salah satunya,0.004899082425619009,Bigram
rata rata,0.004878589141141666,Bigram
neraca perdagangan,0.004871490267216818,Bigram
besar besaran,0.0048549490762093955,Bigram
scott bessent,0.0048534094908714315,Bigram
melakukan negosiasi,0.0048277548190750075,Bigram
persen produk,0.004812353216521427,Bigram
mencapai miliar,0.004810609668183393,Bigram
indonesia menjadi,0.004797229881448397,Bigram
lapangan kerja,0.004778916781904468,Bigram
harga barang,0.004778902891848964,Bigram
surplus perdagangan,0.004729423244731974,Bigram
pelaku usaha,0.004708631665861275,Bigram
tindakan balasan,0.004690275769246074,Bigram
impor barang,0.004655480289046047,Bigram
ekonomi indonesia,0.004607056021229505,Bigram
prabowo subianto,0.004586280002901618,Bigram
menaikkan harga,0.004582450332289277,Bigram
new york,0.004571834992407264,Bigram
bulan lalu,0.004497511247049783,Bigram
perdagangan indonesia,0.004488997779647742,Bigram
menteri luar,0.004476569362570644,Bigram
produk china,0.004462645252649254,Bigram
industri negeri,0.004449224263564229,Bigram
ancaman tarif,0.0044448931367527655,Bigram
akibat tarif,0.004404710245902919,Bigram
masa jabatan,0.004388844743702771,Bigram
miliar dollar,0.004381083730459203,Bigram
bank indonesia,0.004380122812729498,Bigram
dagang amerika,0.0043554490903679076,Bigram
tarif dagang,0.0043438258592234085,Bigram
bahan baku,0.004326333915392002,Bigram
mengalami penurunan,0.004321315133517157,Bigram
tenaga kerja,0.0043140968138200885,Bigram
truth social,0.004306091546357722,Bigram
ekonomi terbesar,0.004303564849954192,Bigram
menurunkan tarif,0.0042967213003617,Bigram
atas impor,0.004273920113473502,Bigram
negara asia,0.004216908070845634,Bigram
impor produk,0.004186487811507301,Bigram
wall street,0.004185212742658078,Bigram
kebijakan tersebut,0.004183512242089335,Bigram
baru baru,0.004183057672029182,Bigram
undang undang,0.004176512524674809,Bigram
mengatakan tarif,0.004169481541901149,Bigram
minyak mentah,0.004151156586787248,Bigram
persen barang,0.004113904091673939,Bigram
trump menerapkan,0.0041132709437944615,Bigram
perdagangan bebas,0.0041115457766637544,Bigram
hari depan,0.004104415494453003,Bigram
negara bagian,0.0040819958140961106,Bigram
usd miliar,0.004077086282998211,Bigram
keuangan scott,0.004069450353054309,Bigram
perdagangan amerika,0.0040547770265999756,Bigram
ketegangan perdagangan,0.004047330855465393,Bigram
mengambil langkah,0.00404281038088417,Bigram
tarif atas,0.004033990610161072,Bigram
tarif diterapkan,0.004032072001175265,Bigram
april lalu,0.004031207954222275,Bigram
indonesia amerika,0.004027210585510625,Bigram
jangka pendek,0.004016969683246993,Bigram
mencapai kesepakatan,0.004006968916586563,Bigram
per dolar,0.004003856635733674,Bigram
persen tarif,0.003972199408971822,Bigram
perjanjian perdagangan,0.003940079792132735,Bigram
produsen mobil,0.003933614350350914,Bigram
masa depan,0.003928455718429001,Bigram
ekonomi nasional,0.003914233318054269,Bigram
china menjadi,0.003904789430325683,Bigram
produk asal,0.0038998165084706067,Bigram
suku cadang,0.0038961278548350305,Bigram
bawah melanjutkan,0.003884489191562223,Bigram
melanjutkan membaca,0.003884489191562223,Bigram
scroll bawah,0.003884489191562223,Bigram
rabu april,0.0038831071123499182,Bigram
tarif hingga,0.0038728587816311754,Bigram
dagang china,0.0038510394166881073,Bigram
howard lutnick,0.003842974314911048,Bigram
trump mengancam,0.0038382842958632124,Bigram
hari senin,0.0038377757113997376,Bigram
miliar triliun,0.0038245139762088207,Bigram
organisasi perdagangan,0.003807376750616107,Bigram
asal china,0.0038020492745537773,Bigram
serikat china,0.0037926456706687726,Bigram
pelaku pasar,0.0037889509632048645,Bigram
minggu lalu,0.0037716897592559293,Bigram
baru trump,0.0037662932234733826,Bigram
terkait tarif,0.0037659684062177038,Bigram
dagang utama,0.003717249475762115,Bigram
impor sebesar,0.0037169265749808517,Bigram
industri otomotif,0.003715515775933388,Bigram
keamanan nasional,0.003714089104686833,Bigram
negara dunia,0.0036860009083596653,Bigram
turun persen,0.0036760232594147597,Bigram
tarif amerika,0.0036734695062012016,Bigram
perwakilan dagang,0.0036653918689836533,Bigram
perintah eksekutif,0.0036648786355034267,Bigram
timur tengah,0.0036581348077336074,Bigram
impor baja,0.00364974835539868,Bigram
pasar domestik,0.0036381007836932882,Bigram
terkena dampak,0.003634785380499123,Bigram
dampak negatif,0.0036142226735538185,Bigram
impor indonesia,0.0036097952966851372,Bigram
akibat kebijakan,0.003606926383364349,Bigram
hubungan dagang,0.0035913462121741004,Bigram
berdasarkan data,0.0035819733175011977,Bigram
orang orang,0.0035653562514891715,Bigram
tarif negara,0.0035455257600634457,Bigram
semua impor,0.0035258708714476076,Bigram
trump menetapkan,0.0035221478792866836,Bigram
pengumuman tarif,0.0035030764002590992,Bigram
ekonomi dunia,0.0035002726791473924,Bigram
puluhan negara,0.0034927831217361973,Bigram
impor trump,0.0034905840345208976,Bigram
produk ekspor,0.0034852262859716983,Bigram
negara berkembang,0.003484014224229266,Bigram
rumah tangga,0.003473772561421924,Bigram
semua barang,0.0034691388805251234,Bigram
tarif produk,0.0034605743667458213,Bigram
belah pihak,0.003456256668466858,Bigram
kedua belah,0.003456256668466858,Bigram
bekerja sama,0.0034461658760546843,Bigram
mulai april,0.0034443831483544065,Bigram
pemerintah china,0.003442032125232052,Bigram
kebijakan presiden,0.0034389407787505585,Bigram
produk domestik,0.0034349064346200493,Bigram
tarif besar,0.003428957805117254,Bigram
trump menandatangani,0.0034210457556879273,Bigram
perdagangan howard,0.003416447992527293,Bigram
meksiko china,0.0034006928707427443,Bigram
menghadapi tarif,0.003391332166848706,Bigram
situs web,0.0033878169422394775,Bigram
daya beli,0.0033852555851582706,Bigram
sejak awal,0.00337737378402042,Bigram
hampir semua,0.003373359783945985,Bigram
kemungkinan besar,0.0033576037309317706,Bigram
diversifikasi pasar,0.0033550187095750376,Bigram
saling menguntungkan,0.0033547966762470416,Bigram
tarif berlaku,0.0033527011388171943,Bigram
kebijakan ekonomi,0.0033512893918055185,Bigram
video detik,0.003333926354638982,Bigram
pemerintahan presiden,0.003333764757356267,Bigram
beberapa hari,0.00333372850923617,Bigram
impor tinggi,0.0033236704871937154,Bigram
soal tarif,0.003321000564655685,Bigram
mencapai persen,0.0033196542197463934,Bigram
sebuah pernyataan,0.0033108834651899262,Bigram
biaya produksi,0.0032978735102096365,Bigram
atas produk,0.0032954074878865877,Bigram
harga saham,0.0032925695088101173,Bigram
gambas video,0.0032922939476189065,Bigram
presiden donald trump,0.025159176825831294,Trigram
presiden amerika serikat,0.023296192026405715,Trigram
amerika serikat donald,0.022572993917465645,Trigram
serikat donald trump,0.021709362375403083,Trigram
tarif timbal balik,0.01391324459937207,Trigram
kebijakan tarif trump,0.012781981863115466,Trigram
kebijakan tarif impor,0.009950281478882427,Trigram
menjadi salah satu,0.007645808908982266,Trigram
perekonomian airlangga hartarto,0.007642689165920974,Trigram
negeri paman sam,0.0076308131066228045,Trigram
kebijakan tarif presiden,0.00730642716696847,Trigram
nilai tukar rupiah,0.0069704058578808,Trigram
jakarta presiden amerika,0.006692434446344729,Trigram
trump mengenakan tarif,0.006638291397182361,Trigram
barang barang china,0.006635550460347325,Trigram
koordinator bidang perekonomian,0.006623017379208116,Trigram
tarif impor baru,0.006620335959778838,Trigram
kebijakan tarif resiprokal,0.00660616820642571,Trigram
menteri koordinator bidang,0.006557997090931884,Trigram
menteri luar negeri,0.006437860234574521,Trigram
donald trump mengumumkan,0.006362862985325837,Trigram
trump memberlakukan tarif,0.006346305632733844,Trigram
tarif barang barang,0.0062113875926855,Trigram
tarif presiden donald,0.0061485949271877826,Trigram
tarif sebesar persen,0.006055487799211362,Trigram
menteri keuangan scott,0.006023260748175263,Trigram
tarif bea masuk,0.0059274938403982855,Trigram
keuangan scott bessent,0.005896474827866335,Trigram
bidang perekonomian airlangga,0.005864685652652535,Trigram
menaikkan tarif impor,0.005841053663819387,Trigram
presiden prabowo subianto,0.005828253146544939,Trigram
amerika serikat china,0.00568232068308109,Trigram
bawah melanjutkan membaca,0.00559548302856131,Trigram
scroll bawah melanjutkan,0.00559548302856131,Trigram
atas barang barang,0.005563105383909036,Trigram
mitra dagang utama,0.00552591830354108,Trigram
kebijakan tarif baru,0.0054150430957379085,Trigram
trump mengumumkan tarif,0.0053994104432149685,Trigram
salah satu negara,0.005328660835704257,Trigram
organisasi perdagangan dunia,0.00524615667842229,Trigram
tarif amerika serikat,0.005234544351817628,Trigram
negara termasuk indonesia,0.005142163144314318,Trigram
negara mitra dagang,0.005074170956877648,Trigram
dagang amerika serikat,0.0050482508326813984,Trigram
perdagangan howard lutnick,0.005014860108680052,Trigram
menteri perdagangan howard,0.005014860108680052,Trigram
produk domestik bruto,0.00499562691361148,Trigram
kedua belah pihak,0.004908563175409654,Trigram
indonesia amerika serikat,0.004860739241846666,Trigram
gambas video detik,0.004851010537064912,Trigram
impor baja aluminium,0.004650698789437602,Trigram
kenaikan tarif impor,0.004635287393790965,Trigram
tarif impor trump,0.004544136118627797,Trigram
domestik bruto pdb,0.004425606290518568,Trigram
dampak kebijakan tarif,0.004400431077052755,Trigram
pemerintah amerika serikat,0.0043733387750996555,Trigram
barang barang impor,0.0043673359124527505,Trigram
kementerian perdagangan china,0.004366729252445979,Trigram
pemutusan hubungan kerja,0.004342096588741471,Trigram
ekonomi terbesar dunia,0.004321125216639904,Trigram
persen menjadi persen,0.004267421989907731,Trigram
negara negara mitra,0.0042664101959192825,Trigram
perdagangan amerika serikat,0.004259137033861113,Trigram
kementerian luar negeri,0.004243466033585572,Trigram
tarif presiden amerika,0.004200000371103492,Trigram
merupakan salah satu,0.00416292031841539,Trigram
kanada meksiko china,0.00415179500896747,Trigram
perang dagang china,0.0041292858868579125,Trigram
trump menerapkan tarif,0.004119570565300451,Trigram
trump menaikkan tarif,0.004087653716625991,Trigram
persen barang barang,0.0040827194649702084,Trigram
tarif impor tinggi,0.004060034839964,Trigram
perdagangan dunia wto,0.003995858187570948,Trigram
menurunkan suku bunga,0.003979164291469237,Trigram
mengenakan tarif persen,0.003977626593907045,Trigram
berita terbaru hari,0.003973457037311277,Trigram
mengenakan tarif impor,0.003972369949351735,Trigram
bea masuk impor,0.0039269844296526395,Trigram
bea masuk sebesar,0.0038544032372699885,Trigram
tarif impor sebesar,0.0038082149603081133,Trigram
beberapa tahun terakhir,0.003804134113758429,Trigram
tarif besar besaran,0.0037963578611679835,Trigram
