url,judul,channel
https://www.cnbcindonesia.com/research/20250211044435-128-609577/sejarah-baru-harga-emas-tembus-rekor-ke-level-us--2900,Sejarah Baru! Harga Emas Tembus Rekor ke Level US$ 2.900 - CNBC Indonesia,CNBC Indonesia
https://www.suara.com/news/2025/02/11/105121/perang-dagang-china-vs-as-makin-panas-trump-konfirmasi-telah-berbicara-dengan-xi-jinping,"Perang Dagang China vs AS Makin Panas, Trump Konfirmasi Telah Berbicara dengan Xi Jinping - Suara.com",Suara
https://www.cnbcindonesia.com/research/20250213155617-128-610446/harganya-kembali-terbang-emas-siap-cetak-rekor-baru,Harganya Kembali Terbang! Emas Siap Cetak Rekor Baru - CNBC Indonesia,CNBC Indonesia
https://www.cnbcindonesia.com/market/20250210144720-19-609451/video-saat-trump-picu-gejolak-pasar-bi-rate-bisa-turun-3x-di-2025,"Video: Saat Trump Picu Gejolak Pasar, BI Rate Bisa Turun 3X di 2025 - CNBC Indonesia",CNBC Indonesia
https://www.kompas.id/artikel/bagaimana-negara-negara-menyikapi-tarif-impor-as-yang-ditetapkan-trump,Bagaimana Negara-negara Menyikapi Tarif Impor AS yang Ditetapkan Trump? - Kompas.id,Kompas
https://infobanknews.com/dampak-kebijakan-tarif-as-terhadap-perekonomian-global-dan-indonesia/,Dampak Kebijakan Tarif AS Terhadap Perekonomian Global dan Indonesia - Infobanknews,Infobanknews
https://www.cnbcindonesia.com/news/20250214095243-8-610633/videoperang-tarif-trump-memanas-harga-emas-inflasi-terancam-meroket,"Video:Perang Tarif Trump Memanas, Harga Emas-Inflasi Terancam Meroket - CNBC Indonesia",CNBC Indonesia
https://www.cnnindonesia.com/ekonomi/20250217165109-92-1199266/tarif-trump-diprediksi-bikin-china-makin-agresif-ke-ri,Tarif Trump Diprediksi Bikin China Makin Agresif ke RI - CNN Indonesia,CNN Indonesia
https://www.antaranews.com/berita/4651069/uni-eropa-janjikan-reaksi-tegas-terhadap-tarif-baru-as,Uni Eropa janjikan reaksi tegas terhadap tarif baru AS - ANTARA News,Antara
https://www.bloombergtechnoz.com/detail-news/62963/trump-minta-eropa-beli-senjata-as-untuk-pertahankan-kekuatan-nato,Trump Minta Eropa Beli Senjata AS untuk Pertahankan Kekuatan NATO - Bloomberg Technoz,Bloombergtechnoz
https://www.tempo.co/ekonomi/rupiah-ditutup-melemah-rp-16-278-per-dolar-as-1208781,Rupiah Ditutup Melemah Rp 16.278 per Dolar AS - Tempo.co,Tempo
https://katadata.co.id/infografik/67aeacc131361/infografik-efek-trump-goyang-bursa-saham-indonesia,INFOGRAFIK: Efek Trump Goyang Bursa Saham Indonesia - Katadata.co.id,Katadata
https://www.antaranews.com/berita/4649025/kanada-anggap-tak-patut-as-berlakukan-tarif-impor-ke-negara-tetangga,Kanada anggap tak patut AS berlakukan tarif impor ke negara tetangga - ANTARA News,Antara
https://www.cnbcindonesia.com/research/20250214144348-128-610750/7-barang-ri-ini-paling-ditakuti-as-sampai-kena-pajak-sampai-90,"7 Barang RI Ini Paling Ditakuti AS, Sampai Kena Pajak Sampai 90% - CNBC Indonesia",CNBC Indonesia
https://www.cnbcindonesia.com/news/20250219141443-4-611900/update-perang-dagang-trump-as-beri-tarif-baru-ke-barang-impor-ini,"Update Perang Dagang Trump, AS Beri Tarif Baru ke Barang Impor Ini - CNBC Indonesia",CNBC Indonesia
https://www.tempo.co/ekonomi/belum-ada-perjanjian-dagang-airlangga-sebut-ri-bakal-kena-kebijakan-tarif-trump-10-20-persen-1210006,"Belum Ada Perjanjian Dagang, Airlangga Sebut RI Bakal Kena Kebijakan Tarif Trump 10-20 Persen - Tempo.co",Tempo
