word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
mulyani,PER,5,mulyani,0.00859213009792071,0.0028951939779965257,0.005743662037958617
tenggara,GPE,8,tenggara,0.006531463074974923,0.004632310364794441,0.0055818867198846826
dagang,EVT,5,dagang,0.008261574585896247,0.0028951939779965257,0.005578384281946387
bisnis,ORG,1,bisnis,0.010420862209557548,0.0005790387955993051,0.005499950502578427
nasional,ORG,5,nasional,0.007880286012772915,0.0028951939779965257,0.00538773999538472
badan,ORG,6,badan,0.006990935657292735,0.003474232773595831,0.005232584215444283
menteri keuangan as,NOR,18,menteri keuangan as,0.0,0.010422698320787493,0.0052113491603937466
the fed,ORG,18,the fed,0.0,0.010422698320787493,0.0052113491603937466
united,ORG,9,united,0.005173669405347247,0.0052113491603937466,0.005192509282870497
times,ORG,7,times,0.006225891484643352,0.004053271569195136,0.005139581526919244
ibrahim,PER,7,ibrahim,0.006175353677636969,0.004053271569195136,0.0051143126234160525
bulan,QTY,3,bulan,0.008383798569006843,0.0017371163867979154,0.005060457477902379
kamboja,GPE,17,kamboja,0.0,0.009843659525188187,0.004921829762594094
paman sam,GPE,17,paman sam,0.0,0.009843659525188187,0.004921829762594094
kamis april,DAT,17,kamis april,0.0,0.009843659525188187,0.004921829762594094
lutnick,PER,7,lutnick,0.005635099343202318,0.004053271569195136,0.004844185456198727
sri mulyani indrawati,PER,16,sri mulyani indrawati,0.0,0.009264620729588882,0.004632310364794441
serikatdonald,ORG,3,serikatdonald,0.007464800199263556,0.0017371163867979154,0.004600958293030736
asosiasi,ORG,2,asosiasi,0.0080100527106815,0.0011580775911986102,0.004584065150940055
perwakilan,NOR,5,perwakilan,0.006176633777894636,0.0028951939779965257,0.004535913877945581
asdonald,ORG,2,asdonald,0.007832374081861358,0.0011580775911986102,0.004495225836529984
brics,ORG,15,brics,0.0,0.008685581933989578,0.004342790966994789
presiden amerika serikatdonald,NOR,15,presiden amerika serikatdonald,0.0,0.008685581933989578,0.004342790966994789
kompas com,ORG,15,kompas com,0.0,0.008685581933989578,0.004342790966994789
xi jinping,PER,15,xi jinping,0.0,0.008685581933989578,0.004342790966994789
street,ORG,4,street,0.006243238666784531,0.0023161551823972205,0.004279696924590876
kemendag,NOR,6,kemendag,0.005014253118410572,0.003474232773595831,0.004244242946003202
pusat,ORG,3,pusat,0.006742517730866802,0.0017371163867979154,0.004239817058832359
reserve,ORG,5,reserve,0.0055049188727014225,0.0028951939779965257,0.004200056425348974
tim,ORG,4,tim,0.005911375745752729,0.0023161551823972205,0.004113765464074975
economic,ORG,1,economic,0.007542187072182618,0.0005790387955993051,0.004060612933890962
new york,GPE,14,new york,0.0,0.008106543138390272,0.004053271569195136
jamieson greer,PER,14,jamieson greer,0.0,0.008106543138390272,0.004053271569195136
umum,ORG,2,umum,0.00694158087872474,0.0011580775911986102,0.004049829234961675
social,PRD,3,social,0.006353921906571099,0.0017371163867979154,0.0040455191466845074
negara,ORG,4,negara,0.005766851665722221,0.0023161551823972205,0.004041503424059721
bursa,PRD,3,bursa,0.00621872618748623,0.0017371163867979154,0.003977921287142073
juru,ORG,2,juru,0.006560578127162772,0.0011580775911986102,0.003859327859180691
and,ORG,1,and,0.007090128616806703,0.0005790387955993051,0.003834583706203004
washington dc,GPE,13,washington dc,0.0,0.007527504342790967,0.0037637521713954833
usd miliar,MON,13,usd miliar,0.0,0.007527504342790967,0.0037637521713954833
truth social,ORG,13,truth social,0.0,0.007527504342790967,0.0037637521713954833
howard lutnick,PER,13,howard lutnick,0.0,0.007527504342790967,0.0037637521713954833
bicara,ORG,1,bicara,0.006647589510953282,0.0005790387955993051,0.0036133141532762934
delapan,CRD,12,delapan,0.0,0.006948465547191662,0.003474232773595831
gpn,ORG,12,gpn,0.0,0.006948465547191662,0.003474232773595831
ukraina,GPE,12,ukraina,0.0,0.006948465547191662,0.003474232773595831
tesla,PRD,12,tesla,0.0,0.006948465547191662,0.003474232773595831
