word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
meksiko,MON,2,meksiko,0.03169611733485057,0.0024449877750611247,0.017070552554955844
pemimpin,NOR,20,pemimpin,0.009517159600416375,0.02444987775061125,0.01698351867551381
selatan,ORG,15,selatan,0.015515567381852982,0.018337408312958436,0.01692648784740571
ketiga,ORD,19,ketiga,0.01045845596510039,0.023227383863080684,0.016842919914090537
kamis,PER,2,kamis,0.031224559576726017,0.0024449877750611247,0.01683477367589357
januari,ORG,9,januari,0.0220809123915303,0.011002444987775062,0.01654167868965268
selasa,GPE,1,selasa,0.03185344249323526,0.0012224938875305623,0.01653796819038291
selasa,EVT,1,selasa,0.03185344249323526,0.0012224938875305623,0.01653796819038291
selasa,PRD,1,selasa,0.03185344249323526,0.0012224938875305623,0.01653796819038291
selasa,PER,1,selasa,0.03185344249323526,0.0012224938875305623,0.01653796819038291
selasa,MON,1,selasa,0.03185344249323526,0.0012224938875305623,0.01653796819038291
bloomberg news bloomberg,ORG,27,bloomberg news bloomberg,0.0,0.03300733496332518,0.01650366748166259
